================ Training Loss (Fri Jan 28 12:56:30 2022) ================
(epoch: 174, iters: 10, time: 0.118) G_GAN: 1.388 G_L1: 25.384 D_real: 0.067 D_fake: 0.788 
(epoch: 177, iters: 20, time: 0.108) G_GAN: 1.258 G_L1: 19.289 D_real: 0.265 D_fake: 0.358 
(epoch: 180, iters: 30, time: 0.125) G_GAN: 1.364 G_L1: 27.451 D_real: 0.023 D_fake: 2.132 
(epoch: 184, iters: 10, time: 0.128) G_GAN: 1.904 G_L1: 29.177 D_real: 0.187 D_fake: 0.461 
(epoch: 187, iters: 20, time: 0.115) G_GAN: 1.250 G_L1: 22.192 D_real: 1.109 D_fake: 0.184 
(epoch: 190, iters: 30, time: 0.120) G_GAN: 1.551 G_L1: 24.346 D_real: 0.420 D_fake: 0.220 
(epoch: 194, iters: 10, time: 0.146) G_GAN: 1.683 G_L1: 30.669 D_real: 0.219 D_fake: 0.304 
(epoch: 197, iters: 20, time: 0.119) G_GAN: 2.061 G_L1: 24.178 D_real: 0.141 D_fake: 0.192 
(epoch: 200, iters: 30, time: 0.111) G_GAN: 1.330 G_L1: 18.173 D_real: 0.321 D_fake: 0.482 
(epoch: 204, iters: 10, time: 0.120) G_GAN: 1.767 G_L1: 29.752 D_real: 0.193 D_fake: 0.458 
(epoch: 207, iters: 20, time: 0.142) G_GAN: 1.763 G_L1: 22.447 D_real: 1.311 D_fake: 0.055 
(epoch: 210, iters: 30, time: 0.131) G_GAN: 2.780 G_L1: 35.168 D_real: 0.707 D_fake: 0.029 
(epoch: 214, iters: 10, time: 0.111) G_GAN: 1.435 G_L1: 15.766 D_real: 0.833 D_fake: 0.313 
(epoch: 217, iters: 20, time: 0.145) G_GAN: 1.701 G_L1: 30.525 D_real: 0.426 D_fake: 0.268 
(epoch: 220, iters: 30, time: 0.126) G_GAN: 2.711 G_L1: 29.111 D_real: 1.038 D_fake: 0.036 
(epoch: 224, iters: 10, time: 0.122) G_GAN: 1.726 G_L1: 18.866 D_real: 1.681 D_fake: 0.060 
(epoch: 227, iters: 20, time: 0.120) G_GAN: 1.857 G_L1: 15.646 D_real: 0.686 D_fake: 0.100 
(epoch: 230, iters: 30, time: 0.156) G_GAN: 1.726 G_L1: 23.711 D_real: 0.472 D_fake: 0.124 
(epoch: 234, iters: 10, time: 0.122) G_GAN: 0.844 G_L1: 17.769 D_real: 0.622 D_fake: 0.558 
(epoch: 237, iters: 20, time: 0.128) G_GAN: 0.693 G_L1: 28.915 D_real: 0.295 D_fake: 0.717 
(epoch: 240, iters: 30, time: 0.144) G_GAN: 1.889 G_L1: 35.702 D_real: 0.109 D_fake: 0.256 
(epoch: 244, iters: 10, time: 0.133) G_GAN: 1.213 G_L1: 20.949 D_real: 0.353 D_fake: 0.735 
(epoch: 247, iters: 20, time: 0.123) G_GAN: 2.168 G_L1: 24.673 D_real: 0.093 D_fake: 0.163 
(epoch: 250, iters: 30, time: 0.143) G_GAN: 1.317 G_L1: 27.231 D_real: 0.357 D_fake: 0.240 
(epoch: 254, iters: 10, time: 0.125) G_GAN: 2.525 G_L1: 21.050 D_real: 0.458 D_fake: 0.086 
(epoch: 257, iters: 20, time: 0.136) G_GAN: 1.356 G_L1: 23.213 D_real: 0.098 D_fake: 1.537 
(epoch: 260, iters: 30, time: 0.146) G_GAN: 1.932 G_L1: 15.841 D_real: 0.583 D_fake: 0.197 
(epoch: 264, iters: 10, time: 0.131) G_GAN: 1.647 G_L1: 17.208 D_real: 0.348 D_fake: 0.207 
(epoch: 267, iters: 20, time: 0.121) G_GAN: 1.669 G_L1: 21.549 D_real: 0.134 D_fake: 0.426 
(epoch: 270, iters: 30, time: 0.144) G_GAN: 2.197 G_L1: 29.759 D_real: 0.163 D_fake: 0.548 
(epoch: 274, iters: 10, time: 0.133) G_GAN: 1.348 G_L1: 21.071 D_real: 0.225 D_fake: 0.401 
(epoch: 277, iters: 20, time: 0.135) G_GAN: 1.695 G_L1: 32.046 D_real: 0.407 D_fake: 0.124 
(epoch: 280, iters: 30, time: 0.152) G_GAN: 1.217 G_L1: 27.488 D_real: 0.110 D_fake: 0.678 
(epoch: 284, iters: 10, time: 0.136) G_GAN: 2.253 G_L1: 16.314 D_real: 3.016 D_fake: 0.040 
(epoch: 287, iters: 20, time: 0.153) G_GAN: 1.984 G_L1: 31.256 D_real: 0.077 D_fake: 2.148 
(epoch: 290, iters: 30, time: 0.122) G_GAN: 1.197 G_L1: 19.340 D_real: 0.581 D_fake: 0.169 
(epoch: 294, iters: 10, time: 0.129) G_GAN: 1.238 G_L1: 18.385 D_real: 0.465 D_fake: 0.229 
(epoch: 297, iters: 20, time: 0.148) G_GAN: 1.025 G_L1: 19.126 D_real: 1.412 D_fake: 0.376 
(epoch: 300, iters: 30, time: 0.134) G_GAN: 0.982 G_L1: 17.472 D_real: 1.212 D_fake: 0.281 
(epoch: 304, iters: 10, time: 0.147) G_GAN: 1.720 G_L1: 21.560 D_real: 0.285 D_fake: 1.091 
(epoch: 307, iters: 20, time: 0.148) G_GAN: 2.213 G_L1: 28.884 D_real: 0.035 D_fake: 1.293 
(epoch: 310, iters: 30, time: 0.136) G_GAN: 1.906 G_L1: 26.757 D_real: 0.258 D_fake: 0.147 
(epoch: 314, iters: 10, time: 0.153) G_GAN: 1.784 G_L1: 31.488 D_real: 0.210 D_fake: 0.201 
(epoch: 317, iters: 20, time: 0.146) G_GAN: 1.459 G_L1: 18.827 D_real: 0.923 D_fake: 0.165 
(epoch: 320, iters: 30, time: 0.143) G_GAN: 1.377 G_L1: 19.369 D_real: 0.374 D_fake: 0.244 
(epoch: 324, iters: 10, time: 0.151) G_GAN: 0.931 G_L1: 31.910 D_real: 0.146 D_fake: 2.114 
(epoch: 327, iters: 20, time: 0.143) G_GAN: 1.391 G_L1: 18.174 D_real: 0.366 D_fake: 0.547 
(epoch: 330, iters: 30, time: 0.163) G_GAN: 1.457 G_L1: 18.933 D_real: 0.602 D_fake: 0.208 
(epoch: 334, iters: 10, time: 0.129) G_GAN: 1.548 G_L1: 20.248 D_real: 0.194 D_fake: 0.705 
(epoch: 337, iters: 20, time: 0.146) G_GAN: 1.719 G_L1: 21.428 D_real: 0.039 D_fake: 0.391 
(epoch: 340, iters: 30, time: 0.142) G_GAN: 2.152 G_L1: 23.367 D_real: 0.561 D_fake: 0.065 
(epoch: 344, iters: 10, time: 0.142) G_GAN: 0.662 G_L1: 23.007 D_real: 0.082 D_fake: 1.807 
(epoch: 347, iters: 20, time: 0.148) G_GAN: 1.304 G_L1: 26.583 D_real: 0.454 D_fake: 0.260 
(epoch: 350, iters: 30, time: 0.144) G_GAN: 1.678 G_L1: 22.991 D_real: 0.086 D_fake: 1.346 
(epoch: 354, iters: 10, time: 0.143) G_GAN: 1.627 G_L1: 19.325 D_real: 0.698 D_fake: 0.128 
(epoch: 357, iters: 20, time: 0.146) G_GAN: 1.469 G_L1: 18.431 D_real: 0.158 D_fake: 0.845 
(epoch: 360, iters: 30, time: 0.157) G_GAN: 0.852 G_L1: 19.689 D_real: 0.611 D_fake: 0.556 
